Pressure,Temperature,CO2mf,Calcium,Carbonate,Bicarbonate,CO2_partial_pressure,CO2,CaCO3,pH,IonicStrength,SI_CO2,SI_Calcite,Ba2plus,Fe2plus,Mg2plus,Sr2plus,Na+,BaCO3,CaSO4,MgCO3,SrCO3,SI_Anhydrite,SI_Aragonite,SI_Barite,SI_Celestite,SI_Dolomite,SI_Halite,SI_Hematite,SI_Siderite
1.0,1.0,0.029500000000000002,102.33265353273627,0.0302585277592004,8.530450130576808,0.029500000000000002,1.483385595810775,0.07056958037255624,7.161500622831894,0.7991053906498362,1.3001343262008202e-09,1.2017103692965412,0.013867162750310278,0.20548048137730746,16.822892572682203,0.4705575601667201,405.2106049149444,1.6095026474423528e-06,0.30018835490128487,0.0072299533795435866,9.735843808007181e-05,-1.4577639928801225,1.0483098397411892,0.9209814980811593,-2.2803787394236217,1.9565268612653028,-2.400394947163633,0.2168171961237244,2.096809374672861
1.0,17.555555555555557,0.029500000000000002,102.31305300189887,0.12436690695406125,8.334291422659916,0.029500000000000002,0.3756164366019735,0.3658276830580998,7.568702831265172,0.7990435544853685,-3.728520226872692e-11,1.818701550055712,0.013687367278672289,0.20677571298634506,17.159123616448188,0.46313716999849,403.56874909927666,8.201727042498117e-06,0.2967209629043748,0.03106956010066081,0.0005236664054987519,-1.3603260021138923,1.665990114995029,0.5141217781117259,-2.331000184687253,3.3247928906900976,-2.4616538218218063,2.8391599330817643,2.6379324253772056
1.0,34.111111111111114,0.029500000000000002,1.507392523416561,1.1475145230178259,0.07469053927981066,0.029500000000000002,2.122732392761174e-07,4.598105745945238,9.802683350816816,8.648449550975108,-5.501608527347826e-10,4.384270632974033,0.009685058979223771,0.0027052557309492566,0.1448361035640914,0.012590030645444814,152.18971633538442,0.00010412473385781705,0.15652946729602785,0.42202381180304477,0.011107286108408125,0.005655483702042991,4.232181147579359,1.445366788647594,-0.8803923821905705,8.679379045296063,0.11607934241037131,12.536811586602756,4.956089798466788
1.0,50.66666666666667,0.029500000000000002,1.507392523416561,1.1475145230178259,0.07469053927981066,0.029500000000000002,2.122732392761174e-07,4.598105745945238,9.802683350816816,8.648449550975108,-5.501608527347826e-10,4.384270632974033,0.009685058979223771,0.0027052557309492566,0.1448361035640914,0.012590030645444814,152.18971633538442,0.00010412473385781705,0.15652946729602785,0.42202381180304477,0.011107286108408125,0.005655483702042991,4.232181147579359,1.445366788647594,-0.8803923821905705,8.679379045296063,0.11607934241037131,12.536811586602756,4.956089798466788
1.0,67.22222222222223,0.029500000000000002,0.004049385748240665,1.7697435295567174,0.002679030121345604,0.029500000000000002,1e-13,3.2923484842665176,9.71102476063072,26.70973497310171,3.664138209449308e-10,4.967382636673877,0.014563894783401268,1.9524478143486208e-07,4.7675601841606155e-06,7.650396765809746e-07,21.96680786506988,1e-13,0.04627985025809805,0.20927688912448725,0.006981240704872014,0.5071828147384201,4.8160139994084785,-11.151352740458563,-0.6717983411533412,10.004276253810266,0.8837617403305696,12.612609969213182,4.232516598678744
1.0,83.77777777777779,0.029500000000000002,0.004049385748240665,1.7697435295567174,0.002679030121345604,0.029500000000000002,1e-13,3.2923484842665176,9.71102476063072,26.70973497310171,3.664138209449308e-10,4.967382636673877,0.014563894783401268,1.9524478143486208e-07,4.7675601841606155e-06,7.650396765809746e-07,21.96680786506988,1e-13,0.04627985025809805,0.20927688912448725,0.006981240704872014,0.5071828147384201,4.8160139994084785,-11.151352740458563,-0.6717983411533412,10.004276253810266,0.8837617403305696,12.612609969213182,4.232516598678744
1.0,100.33333333333334,0.029500000000000002,0.004049385748240665,1.7697435295567174,0.002679030121345604,0.029500000000000002,1e-13,3.2923484842665176,9.71102476063072,26.70973497310171,3.664138209449308e-10,4.967382636673877,0.014563894783401268,1.9524478143486208e-07,4.7675601841606155e-06,7.650396765809746e-07,21.96680786506988,1e-13,0.04627985025809805,0.20927688912448725,0.006981240704872014,0.5071828147384201,4.8160139994084785,-11.151352740458563,-0.6717983411533412,10.004276253810266,0.8837617403305696,12.612609969213182,4.232516598678744
1.0,116.8888888888889,0.029500000000000002,0.004049385748240665,1.7697435295567174,0.002679030121345604,0.029500000000000002,1e-13,3.2923484842665176,9.71102476063072,26.70973497310171,3.664138209449308e-10,4.967382636673877,0.014563894783401268,1.9524478143486208e-07,4.7675601841606155e-06,7.650396765809746e-07,21.96680786506988,1e-13,0.04627985025809805,0.20927688912448725,0.006981240704872014,0.5071828147384201,4.8160139994084785,-11.151352740458563,-0.6717983411533412,10.004276253810266,0.8837617403305696,12.612609969213182,4.232516598678744
1.0,133.44444444444446,0.029500000000000002,0.004049385748240665,1.7697435295567174,0.002679030121345604,0.029500000000000002,1e-13,3.2923484842665176,9.71102476063072,26.70973497310171,3.664138209449308e-10,4.967382636673877,0.014563894783401268,1.9524478143486208e-07,4.7675601841606155e-06,7.650396765809746e-07,21.96680786506988,1e-13,0.04627985025809805,0.20927688912448725,0.006981240704872014,0.5071828147384201,4.8160139994084785,-11.151352740458563,-0.6717983411533412,10.004276253810266,0.8837617403305696,12.612609969213182,4.232516598678744
1.0,150.0,0.029500000000000002,0.004049385748240665,1.7697435295567174,0.002679030121345604,0.029500000000000002,1e-13,3.2923484842665176,9.71102476063072,26.70973497310171,3.664138209449308e-10,4.967382636673877,0.014563894783401268,1.9524478143486208e-07,4.7675601841606155e-06,7.650396765809746e-07,21.96680786506988,1e-13,0.04627985025809805,0.20927688912448725,0.006981240704872014,0.5071828147384201,4.8160139994084785,-11.151352740458563,-0.6717983411533412,10.004276253810266,0.8837617403305696,12.612609969213182,4.232516598678744
